品牌,型号,颜色,价格,CPU,内存,电池容量,操作系统,摄影,好评率
联想,联想拯救者Y70（12GB/256GB）,"机身颜色冰魄白,钛晶灰  ",3370,CPU型号高通 骁龙8+ Gen1,12GB 256GB ,5100mAh,操作系统Legion OS,摄像头摄像头总数4摄像头名称后置主摄镜头：主摄镜头后置超广角微距镜头：超广角微距镜头后置景深镜头：景深镜头前置主摄：主摄像素后置主摄镜头：5000万像素后置超广角微距镜头：1300万像素后置景深镜头：200万像素前置主摄：1600万像素防抖功能后置主摄镜头：OIS光学防抖，EIS电子防抖后置超广角微距镜头：OIS光学防抖，EIS电子防抖后置景深镜头：OIS光学防抖，EIS电子防抖传感器类型普通CMOS其他摄像头参数0.273秒急速对焦时间,9.6星
联想,联想拯救者电竞手机Pro（12GB/128GB/全网通/5G版）,"机身颜色炽焰战甲,炫蓝冰刃  ",3748,CPU型号高通 骁龙865 Plus,12GB 128GB ,5000mAh,操作系统Legion OS,摄像头摄像头总数3摄像头名称后置主摄：主摄后置广角微距镜头：广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置广角微距镜头：1600万像素前置主摄：2000万像素光圈后置主摄：主摄前置主摄：闪光灯LED补光灯（双色温）其他摄像头参数侧边升降摄像头,7.7星
联想,联想拯救者 Y90（16GB/256GB/5G版）,机身颜色钛晶灰  ,4299,CPU型号高通 骁龙8 Gen1,16GB 256GB ,5600mAh,操作系统ZUI 13,摄像头摄像头总数3像素后置摄像头1：6400万像素后置摄像头2：1300万像素前置摄像头1：1600万像素,9.0星
联想,联想拯救者电竞手机2 Pro（8GB/128GB/全网通/5G版）,机身颜色玄青宝器  ,3699,CPU型号高通 骁龙888,8GB 128GB ,5500mAh,操作系统ZUI 12.5,摄像头摄像头总数3摄像头名称后置主摄：主摄后置超广角微距镜头：超广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角微距镜头：1600万像素前置主摄：4400万像素光圈后置主摄：前置主摄：广角后置主摄：82°后置超广角微距镜头：120°前置主摄：84°后置拍照功能夜景，超清拍照，人像，双屏，微距，专业，全景，慢动作，延时摄影，导演，HDR10+电子变焦，电子防抖，自动对焦后置视频拍摄8K（7680x4320）视频录制前置视频拍摄4K（3840x2160，30帧/秒）视频录制传感器类型普通CMOS闪光灯LED补光灯（双）,6.8星
联想,联想拯救者Y70（8GB/128GB）,"机身颜色冰魄白,钛晶灰  ",2970,CPU型号高通 骁龙8+ Gen1,8GB 128GB ,5100mAh,操作系统Legion OS,摄像头摄像头总数4摄像头名称后置主摄镜头：主摄镜头后置超广角微距镜头：超广角微距镜头后置景深镜头：景深镜头前置主摄：主摄像素后置主摄镜头：5000万像素后置超广角微距镜头：1300万像素后置景深镜头：200万像素前置主摄：1600万像素防抖功能后置主摄镜头：OIS光学防抖，EIS电子防抖后置超广角微距镜头：OIS光学防抖，EIS电子防抖后置景深镜头：OIS光学防抖，EIS电子防抖传感器类型普通CMOS其他摄像头参数0.273秒急速对焦时间,9.6星
联想,联想拯救者电竞手机Pro（8GB/128GB/全网通/5G版）,"机身颜色炽焰战甲,炫蓝冰刃  ",3449,CPU型号高通 骁龙865 Plus,8GB 128GB ,5000mAh,操作系统Legion OS,摄像头摄像头总数3摄像头名称后置主摄：主摄后置广角微距镜头：广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置广角微距镜头：1600万像素前置主摄：2000万像素光圈后置主摄：主摄前置主摄：闪光灯LED补光灯（双色温）其他摄像头参数侧边升降摄像头,7.7星
联想,联想乐檬K12 Pro（4GB/64GB/全网通）,"机身颜色墨青,绛紫,皓白  ",879,CPU型号高通 骁龙662,4GB 64GB ,6000mAh,操作系统Legion OS,摄像头摄像头总数4摄像头名称后置主摄：主摄后置景深镜头：景深镜头后置微距镜头：微距镜头前置主摄：主摄像素后置主摄：6400万像素后置景深镜头：200万像素后置微距镜头：200万像素前置主摄：1600万像素光圈后置主摄：后置景深镜头：后置微距镜头：前置主摄：传感器类型CMOS闪光灯LED补光灯其他摄像头参数后置主摄：1.4μm后置景深：1.75μm后置微距：1.75μm前置：12μm,8.0星
联想,联想拯救者Y70（16GB/512GB）,"机身颜色冰魄白,钛晶灰  ",4270,CPU型号高通 骁龙8+ Gen1,16GB 512GB ,5100mAh,操作系统Legion OS,摄像头摄像头总数4摄像头名称后置主摄镜头：主摄镜头后置超广角微距镜头：超广角微距镜头后置景深镜头：景深镜头前置主摄：主摄像素后置主摄镜头：5000万像素后置超广角微距镜头：1300万像素后置景深镜头：200万像素前置主摄：1600万像素防抖功能后置主摄镜头：OIS光学防抖，EIS电子防抖后置超广角微距镜头：OIS光学防抖，EIS电子防抖后置景深镜头：OIS光学防抖，EIS电子防抖传感器类型普通CMOS其他摄像头参数0.273秒急速对焦时间,9.6星
联想,联想乐檬K12（4GB/64GB/全网通）,机身颜色渐变蓝，渐变灰  ,799,CPU型号高通 骁龙460,4GB 64GB ,5000mAh,操作系统Legion OS,摄像头摄像头总数3摄像头名称后置主摄：主摄后置景深镜头：景深镜头前置主摄：主摄像素后置主摄：4800万像素后置景深镜头：200万像素前置主摄：800万像素光圈后置主摄：后置景深镜头：前置主摄：闪光灯LED补光灯其他摄像头参数后置主摄：1.6μm后置景深：1.75μm前置：12μm,7.6星
联想,联想乐檬K12 Pro（4GB/128GB/全网通）,"机身颜色墨青,绛紫,皓白  ",1299,CPU型号高通 骁龙662,4GB 128GB ,6000mAh,操作系统Legion OS,摄像头摄像头总数4摄像头名称后置主摄：主摄后置景深镜头：景深镜头后置微距镜头：微距镜头前置主摄：主摄像素后置主摄：6400万像素后置景深镜头：200万像素后置微距镜头：200万像素前置主摄：1600万像素光圈后置主摄：后置景深镜头：后置微距镜头：前置主摄：传感器类型CMOS闪光灯LED补光灯其他摄像头参数后置主摄：1.4μm后置景深：1.75μm后置微距：1.75μm前置：12μm,8.0星
联想,联想拯救者电竞手机2 Pro（18GB/512GB/全网通/5G版）,机身颜色破晓之刃，玄青宝器  ,5999,CPU型号高通 骁龙888,18GB 512GB ,5500mAh,操作系统ZUI 12.5,摄像头摄像头总数3摄像头名称后置主摄：主摄后置超广角微距镜头：超广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角微距镜头：1600万像素前置主摄：4400万像素光圈后置主摄：前置主摄：广角后置主摄：82°后置超广角微距镜头：120°前置主摄：84°后置拍照功能夜景，超清拍照，人像，双屏，微距，专业，全景，慢动作，延时摄影，导演，HDR10+电子变焦，电子防抖，自动对焦后置视频拍摄8K（7680x4320）视频录制前置视频拍摄4K（3840x2160，30帧/秒）视频录制传感器类型普通CMOS闪光灯LED补光灯（双）,6.8星
联想,联想拯救者 Y90（18GB/640GB/5G版）,机身颜色钛晶灰  ,4999,CPU型号高通 骁龙8 Gen1,18GB 640GB（512+128） ,5600mAh,操作系统ZUI 13,摄像头摄像头总数3像素后置摄像头1：6400万像素后置摄像头2：1300万像素前置摄像头1：1600万像素,9.0星
联想,联想拯救者电竞手机Pro（12GB/256GB/全网通/5G版）,"机身颜色炽焰战甲,炫蓝冰刃  ",3999,CPU型号高通 骁龙865 Plus,12GB 256GB ,5000mAh,操作系统Legion OS,摄像头摄像头总数3摄像头名称后置主摄：主摄后置广角微距镜头：广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置广角微距镜头：1600万像素前置主摄：2000万像素光圈后置主摄：主摄前置主摄：闪光灯LED补光灯（双色温）其他摄像头参数侧边升降摄像头,7.7星
联想,联想拯救者 Y90（12GB/256GB/5G版）,机身颜色钛晶灰  ,3999,CPU型号高通 骁龙8 Gen1,12GB 256GB ,5600mAh,操作系统ZUI 13,摄像头摄像头总数3像素后置摄像头1：6400万像素后置摄像头2：1300万像素前置摄像头1：1600万像素,9.0星
联想,联想拯救者电竞手机Pro（16GB/512GB/全网通/5G版）,"机身颜色炽焰战甲,炫蓝冰刃  ",5999,CPU型号高通 骁龙865 Plus,16GB 512GB ,5000mAh,操作系统Legion OS,摄像头摄像头总数3摄像头名称后置主摄：主摄后置广角微距镜头：广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置广角微距镜头：1600万像素前置主摄：2000万像素光圈后置主摄：主摄前置主摄：闪光灯LED补光灯（双色温）其他摄像头参数侧边升降摄像头,7.7星
